id,dice,iou
BraTS20_Training_064_axial_062,0.093595,0.049102
BraTS20_Training_064_axial_063,0.092346,0.048415
BraTS20_Training_064_axial_064,0.091235,0.047805
BraTS20_Training_064_axial_065,0.087921,0.045989
BraTS20_Training_064_axial_066,0.085519,0.044677
BraTS20_Training_064_axial_067,0.080417,0.041900
BraTS20_Training_064_axial_068,0.077122,0.040115
BraTS20_Training_064_axial_069,0.075371,0.039169
BraTS20_Training_064_axial_070,0.068906,0.035690
BraTS20_Training_064_axial_071,0.065629,0.033935
BraTS20_Training_064_axial_072,0.060964,0.031448
BraTS20_Training_064_axial_073,0.058178,0.029968
BraTS20_Training_064_axial_074,0.057689,0.029708
BraTS20_Training_064_axial_075,0.054402,0.027969
BraTS20_Training_064_axial_076,0.050698,0.026016
BraTS20_Training_064_axial_077,0.040879,0.020874
BraTS20_Training_064_axial_078,0.029866,0.015167
BraTS20_Training_064_axial_079,0.020942,0.010589
BraTS20_Training_064_axial_080,0.011786,0.005936
BraTS20_Training_064_axial_081,0.007797,0.003921
BraTS20_Training_064_axial_082,0.005068,0.002548
BraTS20_Training_064_axial_083,0.002910,0.001465
BraTS20_Training_064_axial_084,0.003306,0.001663
BraTS20_Training_064_axial_085,0.003001,0.001511
BraTS20_Training_064_axial_086,0.004127,0.002075
BraTS20_Training_064_axial_087,0.004218,0.002121
BraTS20_Training_064_axial_088,0.004795,0.002411
BraTS20_Training_064_axial_089,0.004552,0.002289
BraTS20_Training_064_axial_090,0.004400,0.002212
BraTS20_Training_064_axial_091,0.004734,0.002380
BraTS20_Training_064_axial_092,0.003762,0.001892
BraTS20_Training_064_axial_093,0.002971,0.001495
BraTS20_Training_064_axial_094,0.001966,0.000992
BraTS20_Training_064_axial_095,0.001296,0.000656
BraTS20_Training_064_axial_096,0.001052,0.000534
BraTS20_Training_064_axial_097,0.001570,0.000793
BraTS20_Training_064_axial_098,0.001022,0.000519
BraTS20_Training_064_axial_099,0.000656,0.000336
BraTS20_Training_064_axial_100,0.001083,0.000549
BraTS20_Training_064_axial_101,0.000656,0.000336
BraTS20_Training_064_axial_102,0.000412,0.000214
BraTS20_Training_064_axial_103,0.001235,0.000626
BraTS20_Training_064_axial_104,0.006100,0.003067
BraTS20_Training_064_axial_105,0.006676,0.003357
BraTS20_Training_064_axial_106,0.005675,0.002853
BraTS20_Training_064_axial_107,0.005341,0.002686
BraTS20_Training_151_axial_053,0.000656,0.000336
BraTS20_Training_151_axial_054,0.002880,0.001450
BraTS20_Training_151_axial_055,0.005948,0.002991
